COIN,POSITION,OPEN,CLOSE  ,PROFIT 1,PROFIT 2
VET,SHORT,0.01839,0.0189,-2.70%,-$2.77
BTC,SHORT,28955,28855,0.35%,$0.34
OP,LONG,1.653,1.723,4.06%,$4.13
AUDIO,SHORT,0.1722,0.1694,1.65%,$1.65
ATOM,SHORT,8.762,8.598,1.91%,$1.93
VET,SHORT,0.01838,0.01794,2.45%,$2.52
FTM,SHORT,0.2341,0.2288,2.32%,$2.44
EGLD,SHORT,30.83,31.49,-2.10%,-$2.36
OCEAN ,SHORT,0.3373,0.3348,0.75%,$0.80
ANKR,SHORT,0.02408,0.02455,-1.91%,-$2.12
ANKR,SHORT,0.0242,0.02391,1.21%,$1.28
DOGE,SHORT,0.07432,0.07265,2.30%,$2.42
ONT,SHORT,0.1875,0.1844,1.68%,$1.82
ETC,LONG,17.951,17.68,-1.53%,-$1.69
DUSK,SHORT,0.1165,0.1132,2.92%,$3.13
ATOM,SHORT,8.434,8.37,0.76%,$0.86
EGLD,SHORT,30.64,30.31,1.09%,$1.23
ZIL,LONG,0.02013,0.02008,-0.25%,-$0.29
DOGE,LONG,0.07606,0.0766,0.70%,$0.82
DOT,LONG,5.028,5.03,0.04%,$0.05
OCEAN,SHORT,0.3392,0.3376,0.47%,$0.55
NEO,SHORT,8.43,8.52,-1.06%,-$1.25
LTO,LONG,0.0651,0.06655,2.18%,$2.57
FTM,SHORT,0.2381,0.2429,-1.98%,-$2.38
DOGE,SHORT,0.07479,0.07382,1.31%,$1.50
SOL,LONG,24.82,25.18,1.43%,$1.70
ETC,SHORT,17.41,17.33,0.46%,$0.55
NEO,SHORT,8.35,8.19,1.95%,$2.29
ENJ,SHORT,0.2894,0.2852,1.47%,$1.77
MATIC,SHORT,0.6739,0.6699,0.60%,$0.73
TOMO,LONG,1.4738,1.529,3.61%,$4.65
ZIL,SHORT,0.01995,0.01965,1.53%,$1.94
UNI,SHORT,5.975,5.861,1.95%,$2.50
FTM,SHORT,0.2272,0.2201,3.23%,$4.17
DUSK,SHORT,0.1211,0.1127,7.45%,$9.54
SNX,SHORT,2.303,2.265,1.68%,$2.43
SOL,SHORT,22.87,22.41,2.05%,$3.01
ATOM,SHORT,7.373,7.648,-3.60%,-$5.69
SNX,SHORT,2.18,2.15,1.40%,$2.02
SKL,SHORT,0.02206,0.0219,0.73%,$1.08
ANKR,SHORT,0.01977,0.01941,1.85%,$2.73
SOL,SHORT,20.943,20.718,1.09%,$1.64
SKL,SHORT,0.02146,0.02127,0.89%,$1.37
FTM,SHORT,0.2015,0.1969,2.34%,$3.55
ZIL,SHORT,0.01623,0.01602,1.31%,$2.06
STMX,LONG,0.00533,0.00527,-1.14%,-$1.81
DOGE,SHORT,0.06259,0.06214,0.72%,$1.15
ATOM,SHORT,7.234,7.099,1.90%,$3.00
STMX,SHORT,0.00521,0.00517,0.77%,$1.26
SOL,SHORT,21.022,20.635,1.88%,$3.03
MANA,SHORT,0.2981,0.2953,0.95%,$1.58
DOGE,SHORT,0.06265,0.06218,0.76%,$1.27
ZIL,SHORT,0.01642,0.01629,0.80%,$1.35
FTM,SHORT,0.1989,0.1968,1.07%,$1.82
SXP,SHORT,0.2584,0.2543,1.61%,$2.76
ZIL,SHORT,0.01642,0.01631,0.67%,$1.18
ZRX,SHORT,0.1672,0.1724,-3.02%,-$5.53
NEO,SHORT,7.037,7.452,-5.57%,-$10.16
