Trade #,Type,Signal,Date/Time,Price USDT,Contracts,Profit USDT,Profit %,Cum. Profit USDT,Cum. Profit %,Run-up USDT,Run-up %,Drawdown USDT,Drawdown %
1,Exit Long,Close position order,2021-07-08 21:00,33.69,0.066,-0.22,-9,-0.22,-2.2,0.07,3.01,0.23,9.43
1,Entry Long,Long Entry,2021-07-07 12:00,36.95,0.066,-0.22,-9,-0.22,-2.2,0.07,3.01,0.23,9.43
2,Exit Long,Long Exit,2021-07-30 00:00,31.81,0.072,0.13,6.14,-0.09,1.35,0.14,6.51,0.01,0.6
2,Entry Long,Long Entry,2021-07-29 18:00,29.91,0.072,0.13,6.14,-0.09,1.35,0.14,6.51,0.01,0.6
3,Exit Long,Long Exit,2021-08-11 12:00,43.25,0.056,0.13,5.84,0.05,1.35,0.14,5.95,0.10,4.36
3,Entry Long,Long Entry,2021-08-10 12:00,40.78,0.056,0.13,5.84,0.05,1.35,0.14,5.95,0.10,4.36
4,Exit Long,Long Exit,2021-08-15 09:00,46.44,0.049,0.14,6.35,0.18,1.35,0.14,6.46,0.04,2.05
4,Entry Long,Long Entry,2021-08-13 12:00,43.58,0.049,0.14,6.35,0.18,1.35,0.14,6.46,0.04,2.05
5,Exit Long,Long Exit,2021-09-03 03:00,138.66,0.011,0.13,9.18,0.31,1.26,0.13,9.29,0.04,3.17
5,Entry Long,Long Entry,2021-09-02 18:00,126.75,0.011,0.13,9.18,0.31,1.26,0.13,9.29,0.04,3.17
6,Exit Long,Long Exit,2021-09-07 03:00,177.03,0.01,0.13,7.89,0.44,1.26,0.13,8,0.03,1.84
6,Entry Long,Long Entry,2021-09-06 21:00,163.75,0.01,0.13,7.89,0.44,1.26,0.13,8,0.03,1.84
7,Exit Short,Short Exit,2021-09-20 12:00,132.42,0.011,0.14,8.61,0.58,1.32,0.14,8.7,0.01,0.71
7,Entry Short,Short Entry,2021-09-20 06:00,145.21,0.011,0.14,8.61,0.58,1.32,0.14,8.7,0.01,0.71
8,Exit Short,Close position order,2021-09-30 12:00,137.32,0.015,-0.12,-6.44,0.45,-1.18,0.01,0.74,0.18,9.39
8,Entry Short,Short Entry,2021-09-28 18:00,129.26,0.015,-0.12,-6.44,0.45,-1.18,0.01,0.74,0.18,9.39
9,Exit Long,Long Stop,2021-10-27 06:00,179.45,0.011,-0.36,-15.53,0.09,-3.47,0.07,3.15,0.36,15.45
9,Entry Long,Long Entry,2021-10-25 09:00,212.03,0.011,-0.36,-15.53,0.09,-3.47,0.07,3.15,0.36,15.45
10,Exit Short,Short Exit,2021-11-16 09:00,217.93,0.012,0.13,4.57,0.22,1.25,0.13,4.67,0.02,0.87
10,Entry Short,Short Entry,2021-11-16 03:00,228.85,0.012,0.13,4.57,0.22,1.25,0.13,4.67,0.02,0.87
11,Exit Short,Short Exit,2021-11-26 06:00,190.37,0.01,0.13,6.53,0.35,1.31,0.14,6.63,0.12,6.09
11,Entry Short,Short Entry,2021-11-24 18:00,204.11,0.01,0.13,6.53,0.35,1.31,0.14,6.63,0.12,6.09
12,Exit Short,Short Exit,2021-12-13 18:00,154.18,0.017,0.14,4.91,0.48,1.31,0.14,5.01,0.003,0.11
12,Entry Short,Short Entry,2021-12-13 15:00,162.49,0.017,0.14,4.91,0.48,1.31,0.14,5.01,0.003,0.11
13,Exit Short,Close position order,2021-12-22 06:00,184.23,0.017,-0.19,-6.53,0.29,-1.84,0.06,2.14,0.20,6.87
13,Entry Short,Short Entry,2021-12-20 15:00,173.26,0.017,-0.19,-6.53,0.29,-1.84,0.06,2.14,0.20,6.87
14,Exit Long,Long Exit,2021-12-24 15:00,197.34,0.015,0.14,4.81,0.43,1.32,0.14,4.92,0.06,2.1
14,Entry Long,Long Entry,2021-12-23 18:00,187.90,0.015,0.14,4.81,0.43,1.32,0.14,4.92,0.06,2.1
15,Exit Short,Short Exit,2022-01-05 18:00,162.42,0.024,0.14,3.41,0.57,1.32,0.14,3.5,0.13,3.32
15,Entry Short,Short Entry,2022-01-03 21:00,168.50,0.024,0.14,3.41,0.57,1.32,0.14,3.5,0.13,3.32
16,Exit Short,Short Exit,2022-01-17 21:00,137.40,0.029,0.14,3.35,0.70,1.31,0.14,3.45,0.04,1.04
16,Entry Short,Short Entry,2022-01-17 12:00,142.46,0.029,0.14,3.35,0.70,1.31,0.14,3.45,0.04,1.04
17,Exit Short,Short Exit,2022-01-21 12:00,119.18,0.017,0.14,6.36,0.84,1.29,0.14,6.45,0.02,1.03
17,Entry Short,Short Entry,2022-01-21 00:00,127.54,0.017,0.14,6.36,0.84,1.29,0.14,6.45,0.02,1.03
18,Exit Short,Short Exit,2022-02-19 09:00,88.68,0.028,0.15,5.55,0.99,1.35,0.15,5.64,0.07,2.52
18,Entry Short,Short Entry,2022-02-17 21:00,94.09,0.028,0.15,5.55,0.99,1.35,0.15,5.64,0.07,2.52
19,Exit Short,Close position order,2022-02-23 18:00,89.08,0.021,-0.13,-7.59,0.86,-1.2,0.04,2.18,0.22,12.69
